ID,Area ASM,Is ASM,Is ASM/SPAR,Kode PIC,Old Parent,Parent PIC
01-ASMCENTRAL,Central,1,1,01-ASMCENTRA,,
04-SPARJK3,,0,1,04-SPARJK3,01-ASMCENTRAL,01-ASMCENTRAL
03-PRBGR,,0,0,03-PRBGR,04-SPARJK3,04-SPARJK3
05-PRJK3,,0,0,05-PRJK3,04-SPARJK3,04-SPARJK3
06-SPARTGR,,0,1,06-SPARTGR,01-ASMCENTRAL,01-ASMCENTRAL
12-PRTGR,,0,0,12-PRTGR,06-SPARTGR,06-SPARTGR
08-PRMKS,,0,0,08-PRMKS,06-SPARTGR,06-SPARTGR
11-SPARSMG,,0,1,11-SPARSMG,01-ASMCENTRAL,01-ASMCENTRAL
25-PRSOL,,0,0,25-PRSOL,11-SPARSMG,11-SPARSMG
24-PRSMG,,0,0,24-PRSMG,11-SPARSMG,11-SPARSMG
26-PRYOG,,0,0,26-PRYOG,11-SPARSMG,11-SPARSMG
10-SPARSBY,,0,1,10-SPARSBY,01-ASMCENTRAL,01-ASMCENTRAL
21-PRSBY,,0,0,21-PRSBY,10-SPARSBY,10-SPARSBY
22-PRSBY,,0,0,22-PRSBY,10-SPARSBY,10-SPARSBY
01-SPARBDG,,0,1,01-SPARBDG,01-ASMCENTRAL,01-ASMCENTRAL
02-PRBDG,,0,0,02-PRBDG,01-SPARBDG,01-SPARBDG
01-PRBDG,,0,0,01-PRBDG,01-SPARBDG,01-SPARBDG
03-SPARCRB,,0,1,03-SPARCRB,01-ASMCENTRAL,01-ASMCENTRAL
04-PRCRB,,0,0,04-PRCRB,03-SPARCRB,03-SPARCRB
11-PRTGL,,0,0,11-PRTGL,03-SPARCRB,03-SPARCRB
03-ASMWEST,West,1,1,03-ASMWEST,,
13-SPARBKS,,0,1,13-SPARBKS,03-ASMWEST,03-ASMWEST
29-PRBKS,,0,0,29-PRBKS,13-SPARBKS,13-SPARBKS
28-PRBKS,,0,0,28-PRBKS,13-SPARBKS,13-SPARBKS
14-SPARJK1,,0,1,14-SPARJK1,03-ASMWEST,03-ASMWEST
31-PRJK1,,0,0,31-PRJK1,14-SPARJK1,14-SPARJK1
32-PRJK2,,0,0,32-PRJK2,14-SPARJK1,14-SPARJK1
07-SPARDPS,,0,1,07-SPARDPS,03-ASMWEST,03-ASMWEST
15-PRDPS,,0,0,15-PRDPS,07-SPARDPS,07-SPARDPS
20-PRPTK,,0,0,20-PRPTK,07-SPARDPS,07-SPARDPS
16-SPARMDN,,0,1,16-SPARMDN,03-ASMWEST,03-ASMWEST
33-PRMDN,,0,0,33-PRMDN,16-SPARMDN,16-SPARMDN
34-PRPDG,,0,0,34-PRPDG,16-SPARMDN,16-SPARMDN
17-SPARPLG,,0,1,17-SPARPLG,03-ASMWEST,03-ASMWEST
36-PRPLG,,0,0,36-PRPLG,17-SPARPLG,17-SPARPLG
35-PRPKU,,0,0,35-PRPKU,17-SPARPLG,17-SPARPLG
23-PRSMD,,0,0,23-PRSMD,17-SPARPLG,17-SPARPLG
27-PRBDL,,0,0,27-PRBDL,17-SPARPLG,17-SPARPLG
08-SPARMLG,,0,1,08-SPARMLG,03-ASMWEST,03-ASMWEST
19-PRMLG,,0,0,19-PRMLG,08-SPARMLG,08-SPARMLG
13-PRBMS,,0,0,13-PRBMS,08-SPARMLG,08-SPARMLG
testing,,0,1,testing,,
